base_group,providers,deployable_models,release_note,catalog_sources,swebench_rows,swebench_latest,swebench_submissions,llmrouterbench_rows,llmrouterbench_models,livebench_total_rows,livebench_coding_rows,livebench_latest,bigcodebench_rows,bigcodebench_models,terminalbench_rows,terminalbench_latest,terminalbench_systems
anthropic/claude-3.7-sonnet,anthropic,claude-3-7-sonnet-latest,2025-02 approximate.,modelCatalog.curated.anthropic,7494,20250625,13,0,,1154,384,2025-04-01,592,claude-3-7-sonnet-20250219--3200-output-128k-2025-02-19--main:bigcodebench-hard-complete; claude-3-7-sonnet-20250219--3200-output-128k-2025-02-19--main:bigcodebench-hard-instruct; claude-3-7-sonnet-20250219--main:bigcodebench-hard-complete; claude-3-7-sonnet-20250219--main:bigcodebench-hard-instruct,0,,0
anthropic/claude-haiku-4 family,anthropic,claude-haiku-4-5,"Haiku 4.5 catalog variant, approximate late-2025; uncertain.",modelCatalog.curated.anthropic; modelCatalog.curated.claude-code,0,,0,0,,0,0,,0,,2210,2025-12-03T12:13:23.878745+00:00,5
anthropic/claude-opus-4 family,anthropic,claude-opus-4-8; claude-opus-4.8,Claude Opus 4 began 2025-05; 4.5/4.8 catalog variants are late-2025/early-2026 uncertain.,modelCatalog.benchmarkPanels.decorrelated-peers; modelCatalog.benchmarkPanels.gpt-opus-smoke; modelCatalog.curated.anthropic; modelCatalog.curated.claude-code,4294,20251219,5,0,,0,0,,0,,7679,2026-02-19T03:09:07.002038+00:00,19
anthropic/claude-sonnet-4 family,"anthropic, claude, openrouter",anthropic/claude-sonnet-4.5; claude-sonnet-4-5; claude-sonnet-4-6,Claude Sonnet 4 began 2025-05; 4.5/4.6 catalog variants are late-2025/early-2026 uncertain.,modelCatalog.benchmarkPanels.lopsided-default; modelCatalog.curated.anthropic; modelCatalog.curated.claude-code; modelCatalog.curated.openrouter; modelCatalog.defaultCloudPanel; modelCatalog.defaultModelByAuthChoice.anthropic; modelCatalog.defaultModelByAuthChoice.claude-code; modelCatalog.defaultModelByAuthChoice.openrouter; modelCatalog.smokeModels.claude,13194,20251103,24,1555,Claude-sonnet-4,0,0,,0,,2652,2025-12-21T07:16:27.914934+00:00,6
deepseek/deepseek-v3-chat,openrouter,deepseek/deepseek-chat,"DeepSeek-V3/chat family, 2024-12/2025-03 approximate.",modelCatalog.curated.openrouter,1600,20250609,4,3110,Deepseek-v3-0324; Deepseek-v3.1-terminus,1280,434,2025-04-01,7432,deepseek-ai--DeepSeek-V3-0324:bigcodebench-hard-complete; deepseek-ai--DeepSeek-V3-0324:bigcodebench-hard-instruct; deepseek-ai--DeepSeek-V3:bigcodebench-complete; deepseek-ai--DeepSeek-V3:bigcodebench-hard-complete; deepseek-ai--DeepSeek-V3:bigcodebench-hard-instruct; deepseek-ai--DeepSeek-V3:bigcodebench-instruct; new-deepseek-chat:bigcodebench-complete; new-deepseek-chat:bigcodebench-instruct,445,2026-02-08T07:09:58.264277+00:00,1
google/gemini-2.0-flash,google,gemini-2.0-flash,2024-12 preview / 2025-02 GA approximate.,modelCatalog.curated.google,500,20250118,1,0,,2608,768,2025-04-07,3760,gemini-2.0-flash-001--main:bigcodebench-hard-complete; gemini-2.0-flash-001--main:bigcodebench-hard-instruct; gemini-2.0-flash-exp--main:bigcodebench-complete; gemini-2.0-flash-exp--main:bigcodebench-hard-complete; gemini-2.0-flash-exp--main:bigcodebench-hard-instruct; gemini-2.0-flash-exp--main:bigcodebench-instruct; gemini-2.0-flash-lite-preview-02-05--main:bigcodebench-hard-complete; gemini-2.0-flash-lite-preview-02-05--main:bigcodebench-hard-instruct; gemini-2.0-flash-thinking-exp-01-21--main:bigcodebench-hard-complete; gemini-2.0-flash-thinking-exp-01-21--main:bigcodebench-hard-instruct,0,,0
google/gemini-2.5-flash,google,gemini-2.5-flash,2025-04 approximate.,modelCatalog.curated.google; modelCatalog.defaultModelByAuthChoice.google,300,20250528,1,1555,Gemini-2.5-flash,0,0,,0,,1768,2025-11-05T09:15:33.519851+00:00,4
google/gemini-2.5-pro,"google, openrouter",gemini-2.5-pro; google/gemini-2.5-pro,2025-03/2025-04 approximate.,modelCatalog.curated.google; modelCatalog.curated.openrouter; modelCatalog.defaultCloudPanel,2600,20250819,6,1555,Gemini-2.5-pro,418,128,2025-04-01,296,gemini-2.5-pro-exp-03-25--main:bigcodebench-hard-complete; gemini-2.5-pro-exp-03-25--main:bigcodebench-hard-instruct,1768,2025-11-05T09:18:16.915148+00:00,4
google/gemini-3-pro,google,gemini-3-pro,"Catalog/benchmark frontier variant, approximate late-2025; uncertain.",modelCatalog.benchmarkPanels.decorrelated-peers,500,20251120,1,0,,0,0,,0,,5784,2026-03-05T21:50:25.753118+00:00,13
meta/llama-3.3-70b-instruct,openrouter,meta-llama/llama-3.3-70b-instruct,2024-12 approximate.,modelCatalog.curated.openrouter,1000,20250516,2,0,,418,128,2025-02-06,2280,meta-llama--Llama-3.3-70B-Instruct:bigcodebench-complete; meta-llama--Llama-3.3-70B-Instruct:bigcodebench-instruct,0,,0
moonshot/kimi-k2 family,openrouter,moonshotai/kimi-k2; moonshotai/kimi-k2-thinking,"Kimi K2 began 2025-07; thinking variant later, uncertain.",.fusionkit/fusion.json.judgeModel; .fusionkit/fusion.json.panel; modelCatalog.curated.openrouter,1500,20251014,3,1555,Kimi-k2-0905,0,0,,0,,3125,2026-01-28T05:32:34.499688+00:00,4
openai/gpt-4.1 family,openai,gpt-4.1; gpt-4.1-mini,2025-04 approximate.,modelCatalog.curated.openai,7988,20250915,10,0,,294,128,2025-02-06,0,,0,,0
openai/gpt-5 family,"codex, openai, openrouter",gpt-5; gpt-5.1; gpt-5.1-codex; gpt-5.3-codex; gpt-5.5; gpt-5.5-codex; openai/gpt-5.5,"GPT-5 public series began 2025-08; catalog also lists 5.1/5.3/5.5/Codex variants, latest dates uncertain/catalog-derived.",modelCatalog.benchmarkPanels.decorrelated-peers; modelCatalog.benchmarkPanels.gpt-opus-smoke; modelCatalog.benchmarkPanels.lopsided-default; modelCatalog.curated.codex; modelCatalog.curated.openai; modelCatalog.curated.openrouter; modelCatalog.defaultCloudPanel; modelCatalog.defaultModelByAuthChoice.codex; modelCatalog.defaultModelByAuthChoice.openai; modelCatalog.smokeModels.codex,5294,20251103,7,3110,GPT-5-chat; GPT-5-medium,0,0,,0,,13807,2026-02-22T13:15:15.355549+00:00,32
openai/o4-mini,openai,o4-mini,2025-04 approximate.,modelCatalog.curated.openai,3200,20250625,8,0,,0,0,,0,,0,,0
qwen/qwen3-coder family,openrouter,qwen/qwen3-coder,"Qwen3-Coder 480B family, 2025-07 approximate.",.fusionkit/fusion.json.panel; modelCatalog.curated.openrouter,1600,20250901,4,0,,0,0,,0,,2249,2025-12-26T02:25:31.158862+00:00,3
qwen/qwen3-local-small,local,mlx-community/Qwen3-1.7B-4bit,"Qwen3 small local model family, 2025-04 approximate.",modelCatalog.defaultModelByAuthChoice.local,0,,0,0,,0,0,,0,,0,,0
xai/grok-4,openrouter,x-ai/grok-4,2025-07 approximate.,modelCatalog.curated.openrouter,0,,0,0,,0,0,,0,,1325,2025-11-04T03:47:15.744282+00:00,3
